gameid,date,game,winningteam,losingteam,score,goal01,goal02,goal03,goal04,goal05,goal06,goal07,scoringsequence,totalgoalsscored,goaldifference
1,8 June 1990,Argentina v Cameroon,Cameroon,Argentina,0v1,67 Cameroon,,,,,,,1v0,1,1
2,9 June 1990,Italy v Austria,Italy,Austria,1v0,78 Italy,,,,,,,1v0,1,1
3,9 June 1990,Soviet Union v Romania,Romania,Russia,0v2,41 Romania,55 Romania (Pen),,,,,,"1v0, 2v0",2,2
4,9 June 1990,UAE v Colombia,Colombia,UAE,0v2,50 Colombia,85 Colombia,,,,,,"1v0, 2v0",2,2
5,10 June 1990,USA v Czechoslovakia,Czechoslovakia,USA,1v5,26 Czech,40 Czech (Pen),50 Czech,60 USA,78 Czech,90+3 Czech,,"1v0, 2v0, 3v0, 3v1, 4v1, 5v1",6,5
6,10 June 1990,Brazil v Sweden,Brazil,Sweden,2v1,40 Brazil,63 Brazil,79 Sweden,,,,,"1v0, 2v0, 2v1",3,1
7,10 June 1990,West Germany v Yugoslavia,West Germany,Yugoslavia,4v1,28 West Germany,39 West Germany,55 Yugoslavia,64 West Germany,70 West Germany,,,"1v0, 2v0, 2v1, 3v1, 4v1",5,3
8,11 June 1990,Costa Rica v Scotland,Costa Rica,Scotland,1v0,49 Costa Rica,,,,,,,1v0,1,1
9,11 June 1990,England v Ireland,Draw,Draw,1v1,9 England,73 Ireland,,,,,,"1v0, 1v1",2,0
10,12 June 1990,Belgium v South Korea,Belgium,South Korea,2v0,53 Belgium,64 Belgium,,,,,,"1v0, 2v0",2,2
11,12 June 1990,Netherlands v Egypt,Draw,Draw,1v1,58 Netherlands,83 Egypt (Pen),,,,,,"1v0, 1v1",2,0
12,13 June 1990,Uruguay v Spain,Draw,Draw,0v0,,,,,,,,0v0,0,0
13,13 June 1990,Argentina v Soviet Union,Argentina,Soviet Union,2v0,27 Argentina,79 Argentina,,,,,,"1v0, 2v0",2,2
14,14 June 1990,Italy v USA,Italy,USA,1v0,11 Italy,,,,,,,1v0,1,1
15,14 June 1990,Cameroon v Romania,Cameroon,Romania,2v1,76 Cameroon,86 Cameroon,88 Romania,,,,,"1v0, 2v0, 2v1",3,1
16,14 June 1990,Yugoslavia v Colombia,Yugoslavia,Cameroon,1v0,75 Yugoslavia,,,,,,,1v0,1,1
17,15 June 1990,Austria v Czechoslovakia,Czechoslovakia,Austria,0v1,31 Czech (Pen),,,,,,,1v0,1,1
18,15 June 1990,West Germany v UAE,West Germany,UAE,5v1,35 West Germany,37 West Germany,46 UAE,47 West Germany,58 West Germany,75 West Germany,,"1v0, 2v0, 2v1, 3v1, 4v1, 5v1",6,4
19,16 June 1990,Brazil v Costa Rica,Brazil,Costa Rica,1v0,33 Brazil,,,,,,,1v0,1,1
20,16 June 1990,Sweden v Scotland,Scotland,Sweden,1v2,11 Scotland,81 Scotland (Pen),86 Sweden,,,,,"1v0, 2v0, 2v1",3,1
21,16 June 1990,England v Netherlands,Draw,Draw,0v0,,,,,,,,0v0,0,0
22,17 June 1990,Belgium v Uruguay,Belgium,Uruguay,3v1,15 Belgium,24 Belgium,47 Belgium,73 Uruguay,,,,"1v0, 2v0, 3v0, 3v1",4,2
23,17 June 1990,South Korea v Spain,Spain,South Korea,1v3,23 Spain,43 South Korea,61 Spain,81 Spain,,,,"1v0, 1v1, 2v1, 3v1",4,2
24,17 June 1990,Ireland v Egypt,Draw,Draw,0v0,,,,,,,,0v0,0,0
25,18 June 1990,Argentina v Romania,Draw,Draw,1v1,62 Argentina,68 Romania,,,,,,"1v0, 1v1",2,0
26,18 June 1990,Cameroon v Soviet Union,Soviet Union,Cameroon,0v4,20 Soviet Union,29 Soviet Union,52 Soviet Union,63 Soviet Union,,,,"1v0, 2v0, 3v0, 4v0",4,4
27,19 June 1990,West Germany v Colombia,Draw,Draw,1v1,86 West Germany,90+3 Colombia,,,,,,"1v0, 1v1",2,0
28,19 June 1990,Yugoslavia v UAE,Yugoslavia,UAE,4v1,5 Yugoslavia,9 Yugoslavia,22 UAE,46 Yugoslavia,90+3 Yugoslavia,,,"1v0, 2v0, 2v1, 3v1, 4v1",5,3
29,19 June 1990,Italy v Czechoslovakia,Italy,Czechoslovakia,2v0,9 Italy,78 Italy,,,,,,"1v0, 2v0",2,2
30,19 June 1990,Austria v USA,Austria,USA,2v1,49 Austria,63 Austria,83 USA,,,,,"1v0, 2v0, 2v1",3,1
31,20 June 1990,Brazil v Scotland,Brazil,Scotland,1v0,81 Brazil,,,,,,,1v0,1,1
32,20 June 1990,Sweden v Costa Rica,Costa Rica,Sweden,1v2,32 Sweden,75 Costa Rica,87 Costa Rica,,,,,"0v1, 1v1, 2v1",3,1
33,21 June 1990,Belgium v Spain,Spain,Belgium,1v2,26 Spain (Pen),29 Belgium,38 Spain,,,,,"1v0, 1v1, 2v1",3,1
34,21 June 1990,South Korea v Uruguay,Uruguay,South Korea,0v1,90+1 Uruguay,,,,,,,1v0,1,1
35,21 June 1990,England v Egypt,England,Egypt,1v0,58 England,,,,,,,1v0,1,1
36,21 June 1990,Ireland v Netherlands,Draw,Draw,1v1,11 Netherlands,71 Ireland,,,,,,"1v0, 1v1",2,0
37,23 June 1990,Cameroon v Columbia,Cameroon,Colombia,2v1,106 Cameroon,108 Cameroon,115 Colombia,,,,,"1v0, 2v0, 2v1",3,1
38,23 June 1990,Czechoslovakia v Costa Rica,Czechoslovakia,Costa Rica,4v1,12 Czech,55 Costa Rica,63 Czech,76 Czech,82 Czech,,,"1v0, 1v1, 2v1, 3v1, 4v1",5,3
39,24 June 1990,Brazil v Argentina,Argentina,Brazil,1v0,81 Argentina,,,,,,,1v0,1,1
40,24 June 1990,West Germany v Netherlands,West Germany,Netherlands,2v1,51 West Germany,85 West Germany,89 Netherlands (Pen),,,,,"1v0, 2v0, 2v1",3,1
41,25 June 1990,Ireland v Romania,Draw,Draw,0v0,,,,,,,,0v0,0,0
42,25 June 1990,Italy v Uruguay,Italy,Uruguay,2v0,65 Italy,83 Italy,,,,,,"1v0, 2v0",2,2
43,26 June 1990,Spain v Yugoslavia,Yugoslavia,Spain,1v2,78 Yugoslavia,84 Spain,93 Yugoslavia,,,,,"0v1, 1v1, 2v1",3,1
44,26 June 1990,England v Belgium,England,Belgium,1v0,119 England,,,,,,,1v0,1,1
45,30 June 1990,Argentina v Yugoslavia,Draw,Draw,0v0,,,,,,,,0v0,0,0
46,30 June 1990,Ireland v Italy,Italy,Ireland,1v0,38 Italy,,,,,,,1v0,1,1
47,1 July 1990,Cameroon v England,England,Cameroon,2v3,25 England,63 Cameroon (Pen),65 Cameroon,83 England (Pen),105 England (Pen),,,"1v0, 1v1, 1v2, 2v2, 3v2",5,1
48,1 July 1990,Czechoslavakia v West Germany,West Germany,Czechoslovakia,0v1,25 Germany (Pen),,,,,,,1v0,1,1
49,3 July 1990,Argentina v Italy,Draw,Draw,1v1,17 Italy,67 Argentina,,,,,,"1v0, 1v1",2,0
50,4 July 1990,West Germany v England,Draw,Draw,1v1,60 West Germany,80 England,,,,,,"1v0, 1v1",2,0
51,7 July 1990,Italy v England,Italy,England,2v1,71 Italy,81 England,86 Italy (Pen),,,,,"1v0, 1v1, 2v1",3,1
52,8 July 1990,West Germany v Argentina,West Germany,Argentina,1v0,85 Germany (Pen),,,,,,,1v0,1,1
